event	times	date	exams	class_start	class_stop
Registration (for students not pre-registered) 	Aug 29, Fri 	2003-08-29	0	0	0
Labor Day (Holiday) 	Sept 1, Mon 	2003-09-01	0	0	0
Classes begin 	Sept 2, Tues 	2003-09-02	0	1	0
Fall Study Break 	Oct 13-14, Mon-Tues 	2003-10-13	0	0	0
Thanksgiving recess 5:00 p.m. 	Nov 26, Wed 	2003-11-26	0	0	1
Classes resume 8:00 a.m. 	Dec 1, Mon 	2003-12-01	0	1	0
Classes end 	Dec 10, Wed 	2003-12-10	0	0	1
Study Days 	Dec 11, Thurs & Dec 13-14, Sat-Sun 	2003-12-11	0	0	0
Examinations 	Dec 12 Fri & Dec 15-19, Mon-Fri 	2003-12-12	1	0	0
Commencement 	Dec 14, Sun 	2003-12-14	0	0	0
Grade Rosters due in Registrar's Office 2:00 p.m. 	Dec 22, Mon 	2003-12-22	0	0	0
Registration (for students not pre-registered) 	Jan 5, Mon 	2004-01-05	0	0	0
Classes begin 	Jan 6, Tues 	2004-01-06	0	1	0
Martin Luther King, Jr. Day 	Jan 19, Mon 	2004-01-19	0	0	0
Vacation begins 12:00 noon 	Feb 21, Sat 	2004-02-21	0	0	1
Classes resume 	Mar 1, Mon 	2004-03-01	0	1	0
University Honors Convocation 	Mar 14, Sun 	2004-03-14	0	0	0
Classes end 	Apr 21, Wed 	2004-04-21	0	0	1
Study Days 	Apr 22, Thurs & Apr 24-25, Sat-Sun 	2004-04-22	0	0	0
Examinations 	Apr 23, Fri & Apr 26-30, Mon-Fri 	2004-04-23	1	0	0
Commencement Activities 	Apr 30-May 2, Fri-Sun 	2004-04-30	0	0	0
Registration (Full and Spring Half Terms) 	May 3, Mon 	2004-05-03	0	0	0
Grade Rosters Due in Registrar's Office 2:00 p.m. 	May 3, Mon 	2004-05-03	0	0	0
Classes begin 	May 4, Tues 	2004-05-04	0	1	0
Memorial Day (Holiday) 	May 31, Mon 	2004-05-31	0	0	0
Classes end (Spring Half Term) 	June 21, Mon 	2004-06-21	0	0	1
Study Days 	June 22-23, Tues-Wed 	2004-06-22	0	0	0
Examinations 	June 24-25, Thurs-Fri 	2004-06-24	1	0	0
Spring Half Term ends 	June 25, Fri 	2004-06-25	0	0	0
Spring Half Term Grade Rosters due in Registrar's Office 2:00 p.m. 	June 28, Mon 	2004-06-28	0	0	0
Registration (Summer Half Term) 	June 29, Tues 	2004-06-29	0	0	0
Classes begin (Summer Half Term) 	June 30, Wed 	2004-06-30	0	1	0
Independence Day (Holiday Observed) 	July 5, Mon 	2004-07-05	0	0	0
Classes end 5:00 p.m. 	Aug 17, Tues 	2004-08-17	0	0	1
Study Day 	Aug 18, Wed 	2004-08-18	0	0	0
Examinations 	Aug 19-20, Thurs-Fri 	2004-08-19	1	0	0
Full & Summer Half Terms end 	Aug 20, Fri 	2004-08-20	0	0	0
Spring/Summer and Summer Half Term Grade Rosters due in Registrar's Office 2:00 p.m. 	Aug 23, Mon 	2004-08-23	0	0	0
Registration (for students not pre-registered) 	Sept 3, Fri 	2004-09-03	0	0	0
Labor Day (Holiday) 	Sept 6, Mon 	2004-09-06	0	0	0
Classes begin 	Sept 7, Tues 	2004-09-07	0	1	0
Fall Study Break 	Oct 18-19, Mon-Tues 	2004-10-18	0	0	0
Registration by appointment for selected graduate careers – Winter 2005 	Nov 17, Wed-Nov 19, Fri 	2004-11-17	0	0	0
Registration by appointment for undergraduate students – Winter 2005 	Nov 22, Mon-Dec 9, Thur 	2004-11-22	0	0	0
Thanksgiving recess 5:00 p.m. 	Nov 24, Wed 	2004-11-24	0	0	1
Classes resume 8:00 a.m. 	Nov 29, Mon 	2004-11-29	0	1	0
Classes end 	Dec 14, Tues 	2004-12-14	0	0	1
Study Days 	Dec 15, Wed & Dec 18-19, Sat-Sun 	2004-12-15	0	0	0
Examinations 	Dec 16-17 Thurs-Fri & Dec 20-23, Mon-Thurs 	2004-12-16	1	0	0
Commencement 	Dec 19, Sun 	2004-12-19	0	0	0
Grade Rosters due 2:00 pm	Dec 26, Sun	2004-12-26	0	0	0
Registration (for students not pre-registered) 	Jan 4, Tues 	2005-01-04	0	0	0
Classes begin 	Jan 5, Wed 	2005-01-05	0	1	0
Martin Luther King, Jr. Day University Symposia. No Regular Classes. 	Jan 17, Mon 	2005-01-17	0	0	0
Vacation begins 12:00 noon 	Feb 26, Sat 	2005-02-26	0	0	1
Classes resume 	Mar 7, Mon 	2005-03-07	0	1	0
University Honors Convocation 	Mar 20, Sun 	2005-03-20	0	0	0
Registration by appointment for selected graduate careers – Spring, Spring/Summer, Summer and Fall 2005 	Mar 30, Wed–Apr 1, Fri 	2005-03-30	0	0	0
Registration by appointment for undergraduate students – Spring, Spring/Summer, Summer and Fall 2005 	Apr 4, Mon–Apr 19, Tues 	2005-04-04	0	0	0
Classes end 	Apr 19, Tues 	2005-04-19	0	0	1
Study Days 	Apr 20, Wed & Apr 23-24, Sat-Sun 	2005-04-20	0	0	0
Examinations 	Apr 21-22, Thurs-Fri & Apr 25-28, Mon-Thurs 	2005-04-21	1	0	0
Commencement Activities 	Apr 29-May 1, Fri-Sun 	2005-04-29	0	0	0
Grade Rosters due 2:00 pm	May 1, Sun	2005-05-01	0	0	0
Registration (Full and Spring Half Terms) 	May 2, Mon 	2005-05-02	0	0	0
Classes begin 	May 3, Tues 	2005-05-03	0	1	0
Memorial Day ( Holiday ) 	May 30, Mon 	2005-05-30	0	0	0
Classes end (Spring Half Term) 	June 20, Mon 	2005-06-20	0	0	1
Study Days 	June 21-22, Tues-Wed 	2005-06-21	0	0	0
Examinations 	June 23-24, Thurs-Fri 	2005-06-23	1	0	0
Spring Half Term ends 	June 24, Fri 	2005-06-24	0	0	0
Spring Grade Rosters due 2:00 pm	June 27, Mon	2005-06-27	0	0	0
Registration (Summer Half Term) 	June 28, Tues 	2005-06-28	0	0	0
Classes begin (Summer Half Term) 	June 29, Wed 	2005-06-29	0	1	0
Independence Day ( Holiday Observed) 	July 4, Mon 	2005-07-04	0	0	0
Classes end 5:00 p.m. 	Aug 16, Tues 	2005-08-16	0	0	1
Study Day 	Aug 17, Wed 	2005-08-17	0	0	0
Examinations 	Aug 18-19, Thurs-Fri 	2005-08-18	1	0	0
Full & Summer Half Terms end 	Aug 19, Fri 	2005-08-19	0	0	0
Grade Rosters due 2:00 pm	Aug 22, Mon	2005-08-22	0	0	0
Registration (for students not pre-registered) 	Sept 2, Fri 	2005-09-02	0	0	0
Labor Day (Holiday) 	Sept 5, Mon 	2005-09-05	0	0	0
Classes begin 	Sept 6, Tues 	2005-09-06	0	1	0
Fall Study Break 	Oct 17-18, Mon-Tues 	2005-10-17	0	0	0
Backpack Available for the Winter 2006 Term	Nov 14, Mon	2005-11-14	0	0	0
Registration by appointment for selected graduate careers – Winter 2006	Nov 21, Mon – Nov 23, Wed	2005-11-21	0	0	0
Thanksgiving recess 5:00 p.m. 	Nov 23, Wed 	2005-11-23	0	0	1
Registration by appointment for undergraduate students – Winter 2006	Nov 28, Mon – Dec 13, Tue	2005-11-28	0	0	0
Classes resume 8:00 a.m. 	Nov 28, Mon 	2005-11-28	0	1	0
Classes end 	Dec 13, Tues 	2005-12-13	0	0	1
Study Days 	Dec 14, Wed & Dec 17-18, Sat-Sun 	2005-12-14	0	0	0
Examinations 	Dec 15-16, Thurs-Fri & Dec 19-22, Mon-Thurs 	2005-12-15	1	0	0
Commencement 	Dec 18, Sun 	2005-12-18	0	0	0
Registration (for students not pre-registered) 	Jan 4, Wed 	2006-01-04	0	0	0
Classes begin 	Jan 5, Thurs 	2006-01-05	0	1	0
Martin Luther King, Jr. Day University Symposia. No Regular Classes. 	Jan 16, Mon 	2006-01-16	0	0	0
Vacation begins 12:00 noon 	Feb 25, Sat 	2006-02-25	0	0	1
Classes resume 8:00 a.m. 	Mar 6, Mon 	2006-03-06	0	1	0
University Honors Convocation 	Mar 19, Sun 	2006-03-19	0	0	0
Registration by appointment for selected graduate careers –  Spring, Spring/Summer, Summer, and Fall 2006	Mar 29–31, Wed-Fri	2006-03-29	0	0	0
Registration by appointment for undergraduate students – Spring, Spring/Summer, Summer, and Fall 2006	Apr 3–17, Mon-Mon	2006-04-03	0	0	0
Classes end 	Apr 18, Tues 	2006-04-18	0	0	1
Study Days 	Apr 19, Wed & Apr 22-23, Sat-Sun 	2006-04-19	0	0	0
Examinations 	Apr 20-21, Thurs-Fri & Apr 24-27, Mon-Thurs 	2006-04-20	1	0	0
Commencement Activities 	Apr 28-30, Fri-Sun 	2006-04-28	0	0	0
Registration (Full and Spring Half Terms) 	May 1, Mon 	2006-05-01	0	0	0
Classes begin 	May 2, Tues 	2006-05-02	0	1	0
Memorial Day (Holiday) 	May 29, Mon 	2006-05-29	0	0	0
Classes end (Spring Half Term) 	June 19, Mon 	2006-06-19	0	0	1
Study Days 	June 20-21, Tues-Wed 	2006-06-20	0	0	0
Examinations 	June 22-23, Thurs-Fri 	2006-06-22	1	0	0
Spring Half Term ends 	June 23, Fri 	2006-06-23	0	0	0
Registration (Summer Half Term) 	June 27, Tues 	2006-06-27	0	0	0
Classes begin (Summer Half Term) 	June 28, Wed 	2006-06-28	0	1	0
Independence Day (Holiday) 	July 4, Tues 	2006-07-04	0	0	0
Classes end 5:00 p.m. 	Aug 15, Tues 	2006-08-15	0	0	1
Study Day 	Aug 16, Wed 	2006-08-16	0	0	0
Examinations 	Aug 17-18, Thurs-Fri 	2006-08-17	1	0	0
Full & Summer Half Terms end 	Aug 18, Fri 	2006-08-18	0	0	0
Registration (for students not pre-registered) 	Sept 1, Fri 	2006-09-01	0	0	0
Labor Day (Holiday) 	Sept 4, Mon 	2006-09-04	0	0	0
Classes begin 	Sept 5, Tues 	2006-09-05	0	1	0
Fall Study Break 	Oct 16-17, Mon-Tues 	2006-10-16	0	0	0
Registration by appointment for selected graduate careers – Winter 2007	Nov 20-22, Mon-Wed	2006-11-20	0	0	0
Thanksgiving recess 5:00 p.m. 	Nov 22, Wed 	2006-11-22	0	0	1
Registration by appointment for undergraduate students – Winter 2007	Nov 27 – Dec 12, Mon- Tues	2006-11-27	0	0	0
Classes resume 8:00 a.m. 	Nov 27, Mon 	2006-11-27	0	1	0
Classes end 	Dec 13, Wed 	2006-12-13	0	0	1
