conf_abbr	date	game_location	game_result	game_streak	losses	notes	opp_name	opp_points	points	school_name	ties	time_game	wins
Ind	1881-10-31	@	L	L 1	1	Boston, MA	Harvard	1	0	Michigan	0		0
Ind	1881-11-02	@	L	L 2	2		Yale	2	0	Michigan	0		0
Ind	1881-11-04	@	L	L 3	3		Princeton	1	0	Michigan	0		0
Non-Major	1883-03-12		W	W 1	0		Detroit A.C.	5	40	Michigan	0		1
Ind	1883-11-19	@	L	L 1	1		Wesleyan (CT)	14	6	Michigan	0		1
Ind	1883-11-21	@	L	L 2	2		Yale	64	0	Michigan	0		1
Ind	1883-11-22	@	L	L 3	3		Harvard	3	0	Michigan	0		1
Ind	1883-11-27	@	L	L 4	4		Stevens	5	1	Michigan	0		1
Non-Major	1892-10-08		W	W 1	0		Michigan A.C.	0	74	Michigan	0		1
Non-Major	1892-10-12	N	W	W 2	0	Detroit, MI	Michigan A.C.	0	68	Michigan	0		2
Ind	1892-10-15	@	W	W 3	0		Wisconsin	6	10	Michigan	0		3
Ind	1892-10-17	@	L	L 1	1		Minnesota	14	6	Michigan	0		3
Non-Major	1892-10-22	@	W	W 1	1	Indianapolis, IN	DePauw	0	18	Michigan	0		4
Ind	1892-10-24	@	L	L 1	2		Purdue	24	0	Michigan	0		4
Ind	1892-10-29	@	L	L 2	3	Chicago, IL	Northwestern	10	8	Michigan	0		4
Non-Major	1892-11-05		W	W 1	3		Albion	8	60	Michigan	0		5
Ind	1892-11-08	@	L	L 1	4		Cornell	44	0	Michigan	0		5
Ind	1892-11-12	N	W	W 1	4	Toledo, OH	Chicago	10	18	Michigan	0		6
Non-Major	1892-11-19		W	W 2	4		Oberlin	24	26	Michigan	0		7
Ind	1892-11-22		L	L 1	5		Cornell	30	10	Michigan	0		7
Non-Major	1893-10-07		W	W 1	0		Detroit A.C.	0	6	Michigan	0		1
Non-Major	1893-10-14	@	W	W 2	0		Detroit A.C.	0	26	Michigan	0		2
Ind	1893-10-21	@	L	L 1	1		Chicago	10	6	Michigan	0		2
Ind	1893-10-28		L	L 2	2		Minnesota	34	20	Michigan	0		2
